#{"t_start": 1764699795.7484922, "env_id": "None"}
r,l,t
-15.96,202,1.32238
-16.02,199,1.488148
-16.0,200,1.651724
-16.0,200,1.845446
-15.88,206,2.028469
-15.98,201,2.185983
-15.96,202,2.393651
-15.98,201,2.585015
-15.98,201,2.739044
-15.96,202,2.905555
-15.86,207,3.095648
-15.94,203,3.278736
-15.98,201,3.499758
-15.94,203,3.694355
-16.04,198,3.879466
-16.0,200,4.053561
10.02,301,4.305578
-15.96,202,4.470605
-15.96,202,4.66715
-3.94,203,49.860793
-15.98,201,50.220377
-16.02,199,50.601605
-15.98,201,50.9603
-16.0,200,51.29626
-15.96,202,52.407996
11.18,359,53.136298
-15.98,201,53.495771
-16.0,200,53.832085
22.0,300,54.399302
-15.98,201,54.748903
-15.92,204,55.042931
-16.02,199,55.28503
11.02,351,55.641174
-15.96,202,55.889367
-15.94,203,56.067389
-16.04,198,56.268342
-16.04,198,56.450268
-15.9,205,56.631364
-16.08,196,89.520722
-15.9,205,89.686851
-16.0,200,89.840605
-15.98,201,90.00962
-3.68,216,90.195642
-15.88,206,90.374658
-15.88,206,90.526467
-3.9,205,90.715671
-15.82,209,91.239075
-16.0,200,91.401098
-15.9,205,91.594873
-15.96,202,91.758472
-16.12,194,91.907483
-15.9,205,92.059519
-15.96,202,92.214536
-15.98,201,92.391566
-15.9,205,92.548603
-16.0,200,92.711095
-15.86,207,92.867424
-3.78,211,93.029438
-15.84,208,128.766237
-15.88,206,128.910439
-15.96,202,129.052939
-16.1,195,129.187447
-3.8,210,129.332004
-16.0,200,129.490022
-15.92,204,129.644095
-2.94,253,129.85004
-15.96,202,129.989062
48.36,418,130.354691
23.42,371,130.628213
-16.02,199,131.109827
34.98,349,131.403347
48.96,448,131.776964
-3.7,215,131.972538
-16.0,200,132.134554
-16.0,200,168.283417
-2.04,298,168.538836
74.26,513,169.038764
-16.0,200,169.229788
-15.64,218,169.429384
-15.88,206,169.576685
-15.92,204,169.760712
-15.88,206,169.937665
-16.06,197,170.096179
-15.92,204,170.273131
-16.08,196,170.523288
11.24,362,170.912996
-15.96,202,171.07751
-15.94,203,171.266214
9.5,275,171.47623
-15.86,207,172.024415
-15.9,205,172.224437
-15.78,211,206.340942
-2.66,267,206.872222
-15.98,201,207.209903
-15.9,205,207.559606
-16.04,198,207.906229
-15.98,201,208.267687
-2.76,262,208.736699
-15.98,201,209.075127
35.5,375,209.713786
-16.02,199,210.041375
-15.92,204,210.376529
9.98,299,210.906249
-15.96,202,211.237194
-15.96,202,211.593874
-15.88,206,211.958561
-15.96,202,212.319382
-16.0,200,212.690423
-15.98,201,213.064222
-15.96,202,258.46727
-15.76,212,258.844421
-15.98,201,260.768178
-15.98,201,261.123634
-15.9,205,261.498848
-16.14,193,261.834485
-16.02,199,262.168495
9.78,289,262.639108
-15.86,207,262.982319
11.44,372,263.587721
-3.8,210,263.937971
74.54,527,264.848788
-15.92,204,265.202241
-16.02,199,265.557469
-2.94,253,265.97282
10.0,300,266.294786
-16.08,196,266.671995
-3.78,211,309.743743
-2.66,267,309.996027
36.32,416,310.346148
-15.92,204,310.532322
24.22,411,311.718774
-15.9,205,311.961146
-16.04,198,312.12807
-16.14,193,312.305815
-15.9,205,312.56344
-16.0,200,312.743718
